timestamp_sec,latency_ms,status_code
13.80,929,200
13.80,929,200
13.88,898,200
13.88,931,200
13.88,931,200
14.06,903,200
14.09,946,200
14.09,946,200
14.16,958,200
14.21,984,200
14.73,937,200
14.78,966,200
14.63,1113,200
14.73,1015,200
14.81,934,200
14.81,934,200
14.96,899,200
15.04,903,200
15.12,916,200
15.04,996,200
15.20,913,200
15.67,891,200
15.75,897,200
15.75,933,200
15.75,933,200
15.75,933,200
15.75,933,200
15.86,900,200
16.03,946,200
16.11,955,200
15.94,1122,200
16.03,1029,200
16.56,894,200
16.64,899,200
16.68,945,200
16.68,945,200
16.68,945,200
16.68,945,200
16.76,942,200
16.98,908,200
17.06,909,200
17.06,991,200
17.06,991,200
17.45,893,200
17.54,899,200
17.62,896,200
17.62,931,200
17.62,931,200
17.62,931,200
17.70,900,200
17.89,907,200
17.97,906,200
18.06,914,200
18.06,996,200
18.35,900,200
18.44,900,200
18.52,900,200
18.56,942,200
18.56,942,200
18.56,942,200
18.60,973,200
18.80,908,200
18.88,903,200
18.97,907,200
19.05,909,200
19.25,899,200
19.34,906,200
19.42,901,200
19.50,1236,200
19.58,1158,200
19.50,1236,200
19.70,1030,200
19.50,1236,200
19.78,988,200
19.88,925,200
19.96,908,200
20.15,901,200
20.25,904,200
20.32,912,200
20.74,904,200
20.74,978,200
20.74,978,200
20.77,941,200
20.74,978,200
20.74,978,200
20.80,962,200
20.87,968,200
21.24,1061,200
21.15,1142,200
21.05,1248,200
21.64,902,200
21.71,1276,200
21.71,1276,200
21.71,1276,200
21.71,1276,200
21.71,1276,200
21.84,1151,200
21.77,1225,200
22.30,897,200
22.30,973,200
22.30,973,200
22.54,901,200
22.99,999,200
22.99,1002,200
22.99,1002,200
22.99,1002,200
22.99,1002,200
22.99,1002,200
22.99,1002,200
23.19,895,200
23.27,898,200
23.27,930,200
23.44,895,200
23.99,918,200
23.99,918,200
23.99,921,200
23.99,918,200
23.99,918,200
23.99,919,200
23.99,936,200
24.09,904,200
24.17,921,200
24.20,966,200
24.34,929,200
24.91,890,200
24.91,915,200
24.91,915,200
24.91,915,200
24.91,915,200
24.91,915,200
24.93,932,200
24.99,903,200
25.09,898,200
25.17,1044,200
25.27,1022,200
25.83,1030,200
25.83,1030,200
25.83,1030,200
25.83,1030,200
25.83,1030,200
25.80,1055,200
25.90,964,200
25.86,1000,200
25.99,949,200
26.21,929,200
26.29,935,200
26.86,939,200
26.86,939,200
26.86,935,200
26.86,939,200
26.86,939,200
26.86,940,200
26.86,986,200
26.86,981,200
26.94,976,200
27.14,944,200
27.23,953,200
27.80,1073,200
27.80,1073,200
27.80,1073,200
27.80,1073,200
27.80,1073,200
27.84,1026,200
27.84,1026,200
27.80,1073,200
27.91,957,200
28.09,1005,200
28.18,999,200
28.87,1003,200
28.87,1003,200
28.87,1003,200
28.87,1003,200
28.87,1002,200
28.87,1003,200
28.87,1055,200
28.87,1055,200
28.87,1055,200
29.09,984,200
29.18,984,200
29.87,977,200
29.87,987,200
29.87,987,200
29.87,987,200
29.87,987,200
29.87,987,200
29.93,970,200
29.93,970,200
29.93,970,200
30.08,953,200
