timestamp_sec,latency_ms,status_code
18.43,1243,200
18.57,1242,200
18.72,1246,200
18.86,1244,200
19.00,1241,200
19.14,1242,200
19.29,1241,200
19.43,1241,200
19.57,1241,200
19.72,1242,200
19.86,1247,200
20.00,1240,200
20.14,1246,200
20.29,1243,200
20.43,1244,200
20.57,1241,200
20.72,1242,200
20.86,1244,200
21.00,1245,200
21.14,1244,200
21.29,1243,200
21.43,1240,200
21.57,1242,200
21.72,1241,200
21.86,1242,200
22.00,1239,200
22.14,1245,200
22.29,1242,200
22.43,1241,200
22.57,1245,200
22.71,1240,200
22.86,1242,200
23.00,1242,200
23.14,1243,200
23.29,1240,200
23.43,1240,200
23.57,1241,200
23.72,1243,200
23.86,1241,200
24.00,1243,200
24.14,1245,200
24.29,1244,200
24.43,1245,200
24.57,1240,200
24.72,1244,200
24.86,1241,200
25.00,1247,200
25.14,1245,200
25.29,1242,200
25.43,1243,200
25.57,1240,200
25.72,1248,200
25.86,1251,200
26.00,1242,200
26.14,1247,200
26.29,1244,200
26.43,1242,200
26.57,1244,200
26.71,1243,200
26.86,1247,200
27.00,1244,200
27.14,1246,200
27.29,1262,200
27.43,1244,200
27.57,1244,200
27.72,1244,200
27.86,1242,200
28.00,1242,200
28.14,1246,200
28.43,1355,200
28.29,1498,200
28.57,1266,200
28.72,1242,200
28.86,1244,200
29.00,1251,200
29.14,1242,200
29.29,1241,200
29.43,1238,200
29.57,1245,200
29.72,1265,200
29.86,1244,200
30.00,1239,200
30.14,1244,200
30.29,1241,200
30.43,1243,200
30.57,1242,200
30.72,1243,200
30.86,1329,200
31.00,1326,200
31.14,1350,200
31.29,1320,200
31.43,1368,200
31.57,1349,200
31.72,1337,200
31.86,1352,200
32.00,1962,200
32.43,1533,200
32.29,1676,200
32.14,1819,200
32.71,1411,200
32.57,1553,200
32.86,1570,200
33.00,1427,200
33.29,1390,200
33.14,1533,200
33.43,1379,200
34.00,1511,200
33.96,1548,200
34.14,1368,200
33.96,1548,200
33.96,1548,200
34.29,1400,200
34.43,1297,200
34.57,2152,200
35.00,1724,200
34.86,1866,200
34.71,2010,200
35.51,1254,200
35.51,1292,200
35.51,1292,200
35.57,1274,200
35.72,1243,200
35.86,1245,200
36.00,1241,200
36.73,1237,200
36.72,1272,200
36.73,1272,200
36.73,1272,200
36.77,1266,200
36.86,1242,200
37.00,1244,200
37.14,1245,200
37.29,1245,200
37.43,1242,200
37.57,1244,200
37.96,1240,200
38.00,1239,200
38.00,1271,200
38.14,1247,200
38.29,1607,200
38.43,1464,200
38.57,1321,200
38.72,1241,200
38.86,1241,200
39.00,1245,200
39.14,1242,200
39.29,1241,200
39.43,1239,200
39.57,1242,200
39.72,1246,200
39.89,1241,200
40.00,1247,200
40.14,1241,200
40.29,1242,200
40.43,1508,200
40.57,1365,200
40.71,1257,200
41.00,1430,200
40.86,1607,200
41.14,1321,200
41.29,1246,200
41.43,1242,200
41.57,1245,200
41.72,1242,200
41.86,1243,200
42.00,1245,200
42.14,1247,200
42.43,1284,200
42.29,1461,200
42.57,1247,200
42.72,1242,200
42.86,1245,200
43.00,1249,200
43.14,1242,200
43.29,1249,200
43.43,1247,200
43.57,1245,200
43.71,1247,200
44.00,1371,200
43.86,1513,200
44.14,1265,200
44.29,1247,200
44.43,1251,200
44.57,1242,200
44.72,1242,200
45.00,1365,200
44.86,1508,200
45.14,1258,200
45.29,1243,200
45.43,1248,200
45.57,1245,200
45.72,1240,200
45.86,1242,200
46.00,1244,200
46.14,1243,200
46.29,1246,200
46.43,1244,200
46.57,1246,200
46.71,1249,200
46.86,1243,200
47.00,1245,200
47.14,1242,200
47.29,1242,200
47.43,1498,200
47.57,1355,200
47.72,1250,200
47.86,1251,200
48.00,1241,200
48.14,1243,200
48.29,1244,200
48.43,1240,200
48.57,1247,200
48.72,1246,200
48.86,1256,200
49.00,1242,200
49.14,1244,200
49.29,1242,200
49.43,1242,200
49.57,1245,200
49.72,1243,200
49.86,1267,200
50.00,1243,200
50.14,1245,200
50.29,1243,200
50.43,1256,200
50.57,1247,200
50.72,1290,200
50.86,1246,200
51.00,1246,200
51.14,1247,200
51.43,1286,200
51.29,1462,200
51.57,1245,200
51.72,1248,200
51.86,1243,200
52.00,1245,200
52.14,1245,200
52.29,1248,200
52.43,1249,200
52.57,1246,200
52.72,1258,200
52.86,1243,200
53.00,1244,200
53.14,1243,200
53.29,1245,200
53.43,1249,200
53.57,1241,200
53.72,1244,200
53.86,1243,200
54.00,1251,200
54.14,1243,200
54.29,1242,200
54.43,1242,200
54.57,1241,200
54.72,1241,200
54.86,1243,200
55.00,1242,200
55.14,1241,200
55.29,1240,200
55.43,1244,200
55.57,1243,200
55.86,1350,200
55.72,1494,200
56.00,1243,200
56.14,1434,200
56.29,1327,200
56.43,1256,200
56.57,1243,200
56.72,1242,200
56.86,1243,200
57.00,1242,200
57.14,1241,200
57.57,1254,200
57.43,1397,200
57.29,1539,200
57.72,1251,200
57.86,1245,200
58.00,1241,200
58.14,1243,200
58.29,1243,200
58.43,1242,200
58.57,1247,200
58.72,1242,200
58.86,1264,200
59.00,1241,200
59.14,1244,200
59.29,1257,200
59.43,1240,200
59.57,1241,200
59.72,1243,200
59.86,1240,200
60.00,1243,200
